English,Russian,Ukrainian
Malomykhailivska,Маломихайловская,Маломихайлівська
Mezhivska,Межевская,Межівська
Novopavlivska,Новопавловская,Новопавлівська
Pershotravenska,Першотравенская,Першотравенська
Petropavlivska,Петропавловская,Петропавлівська
Raivska,Раевская,Раївська
Rozdorska,Раздорская,Роздорська
Synelnykivska,Синельниковская,Синельниківська
Slavhorodska,Славгородская,Славгородська
Slovianska,Славянская,Слов'янська
Ukrainska,Украинская,Українська
Bakhmutska,Бахмутская,Бахмутська
Zvanivska,Звановская,Званівська
Svitlodarska,Светлодарская,Світлодарська
Siverska,Северская,Сіверська
Soledarska,Соледарская,Соледарська
Toretska,Торецкая,Торецька
Chasovoiarska,Часовоярская,Часовоярська
Velykonovosilkivska,Великоновоселковская,Великоновосілківська
Volnovaska,Волновахская,Волноваська
Vuhledarska,Угледарская,Вугледарська
Komarska,Комарская,Комарська
Myrnenska,Мирненская,Мирненська
Olhynska,Ольгинская,Ольгинська
Staromlynivska,Старомлыновская,Старомлинівська
Khlibodarivska,Хлебодаровская,Хлібодарівська
Vuhlehirska,Углегорская,Вуглегірська
Horlivska,Горловская,Горлівська
Debaltsivska,Дебальцевская,Дебальцівська
Yenakiievska,Енакиевская,Єнакієвська
Snizhnianska,Снежнянская,Сніжнянська
Khrestivska,Крестовская,Хрестівська
Chystiakivska,Чистяковская,Чистяківська
Shakhtarska,Шахтерская,Шахтарська
Amvrosiivska,Амвросиевская,Амвросіївська
Donetska,Донецкая,Донецька
Ilovaiska,Иловайская,Іловайська
Makiivska,Макеевская,Макіївська
Khartsyzka,Харцызская,Харцизька
Yasynuvatska,Ясиноватская,Ясинуватська
Boikivska,Бойковская,Бойківська
Dokuchaievska,Докучаевская,Докучаєвська
Kalmiuska,Кальмиусская,Кальміуська
Novoazovska,Новоазовская,Новоазовська
Starobeshivska,Старобешевская,Старобешівська
Andriivska,Андреевская,Андріївська
Druzhkivska,Дружковская,Дружківська
Illinivska,Ильиновская,Іллінівська
Kostiantynivska,Константиновская,Костянтинівська
Kramatorska,Краматорская,Краматорська
Lymanska,Лиманская,Лиманська
Novodonetska,Новодонецкая,Новодонецька
Oleksandrivska,Александровская,Олександрівська
Sviatohirska,Святогорская,Святогірська
Kalchytska,Кальчикская,Кальчицька
Manhushska,Мангушская,Мангушська
Mariupolska,Мариупольская,Маріупольська
Nikolska,Никольская,Нікольська
Sartanska,Сартанская,Сартанська
Avdiivska,Авдеевская,Авдіївська
Bilozerska,Белозерская,Білозерська
Hrodivska,Гродовская,Гродівська
Dobropilska,Добропольская,Добропільська
Kurakhivska,Кураховская,Курахівська
Marinska,Марьинская,Мар'їнська
Myrnohradska,Мирноградская,Мирноградська
Novohrodivska,Новогродовская,Новогродівська
Ocheretynska,Очеретинская,Очеретинська
Selydivska,Селидовская,Селидівська
Udachnenska,Удачненская,Удачненська
Shakhivska,Шаховская,Шахівська
Andrushivska,Андрушевская,Андрушівська
Berdychivska,Бердичевская,Бердичівська
Vchoraishenska,Вчерайшенская,Вчорайшенська
Hryshkovetska,Гришковецкая,Гришковецька
Raihorodotska,Райгородокская,Райгородоцька
Ruzhynska,Ружинская,Ружинська
Semenivska,Семеновская,Семенівська
Chervonenska,Червоненская,Червоненська
Shvaikivska,Швайковская,Швайківська
Andrushkivska,Андрушковская,Андрушківська
Berezivska,Березовская,Березівська
Brusylivska,Брусиловская,Брусилівська
Vysokivska,Высоковская,Високівська
Vyshevytska,Вышевичская,Вишевицька
Vilshanska,Ольшанская,Вільшанська
Volytska,Волицкая,Волицька
Hlybochytska,Глубочицкая,Глибочицька
Horodotska,Городецкая,Городоцька
Zhytomyrska,Житомирская,Житомирська
Kvitneva,Квитневая,Квітнева
Kornynska,Корнинская,Корнинська
Korostyshivska,Коростышевская,Коростишівська
Kurnenska,Курненская,Курненська
Liubarska,Любарская,Любарська
Myropilska,Миропольская,Миропільська
Novoborivska,Новоборовская,Новоборівська
Novohuivynska,Новогуйвинская,Новогуйвинська
Oliivska,Олиевская,Оліївська
Popilnianska,Попельнянская,Попільнянська
Potiivska,Потиевская,Потіївська
Pulynska,Пулинская,Пулинська
Radomyshlska,Радомышльская,Радомишльська
Romanivska,Романовская,Романівська
Stanyshivska,Станишовская,Станишівська
Starosiletska,Староселецкая,Старосілецька
Teterivska,Тетеревская,Тетерівська
Kharytonivska,Харитоновская,Харитонівська
Khoroshivska,Хорошевская,Хорошівська
Cherniakhivska,Черняховская,Черняхівська
Chudnivska,Чудновская,Чуднівська
Bilokorovytska,Белокоровичская,Білокоровицька
Hladkovytska,Гладковичская,Гладковицька
Horshchykivska,Горщиковская,Горщиківська
Irshanska,Иршанская,Іршанська
Korostenska,Коростенская,Коростенська
Luhynska,Лугинская,Лугинська
Malynska,Малинская,Малинська
Narodytska,Народичская,Народицька
Ovrutska,Овручская,Овруцька
Olevska,Олевская,Олевська
Slovechanska,Словечанская,Словечанська
Ushomyrska,Ушомирская,Ушомирська
Chopovytska,Чоповичская,Чоповицька
Baranivska,Барановская,Баранівська
Barashivska,Барашевская,Барашівська
Bronykivska,Брониковская,Брониківська
Horodnytska,Городницкая,Городницька
Dovbyska,Довбышская,Довбиська
Dubrivska,Дубровская,Дубрівська
Yemilchynska,Емильчинская,Ємільчинська
Zviahelska,Звягельская,Звягельська
Pishchivska,Пищовская,Піщівська
Stryivska,Стриевская,Стриївська
Chyzhivska,Чижовская,Чижівська
Yarunska,Ярунская,Ярунська
Bativska,Батьевская,Батівська
Berehivska,Береговская,Берегівська
Velykoberezka,Великобережская,Великоберезька
Velykobyihanska,Великобыйганская,Великобийганська
Vylotska,Вилокская,Вилоцька
Vynohradivska,Виноградовская,Виноградівська
Korolivska,Королевская,Королівська
Kosonska,Косоньская,Косоньська
Pyiterfolvivska,Паятерфолвовский,Пийтерфолвівська
Velykoluchkivska,Великолучковская,Великолучківська
Verkhnokoropetska,Верхнекоропецкая,Верхньокоропецька
Volovetska,Воловецкая,Воловецька
Horondivska,Горондовская,Горондівська
Zhdeniivska,Ждениевская,Жденіївська
Ivanovetska,Ивановецкая,Івановецька
Kolchynska,Кольчинская,Кольчинська
Mukachivska,Мукачевская,Мукачівська
Nelipynska,Нелепинская,Неліпинська
Nyzhnovoritska,Нижневоротская,Нижньоворітська
Polianska,Полянская,Полянська
Svaliavska,Свалявская,Свалявська
Chynadiivska,Чинадиевская,Чинадіївська
Bohdanska,Богданская,Богданська
Velykobychkivska,Великобычковская,Великобичківська
Rakhivska,Раховская,Рахівська
Yasinianska,Ясинянская,Ясінянська
Bedevlianska,Бедевлянская,Бедевлянська
Bushtynska,Буштынская,Буштинська
Vilkhovetska,Ольховецкая,Вільховецька
Neresnytska,Нересницкая,Нересницька
Solotvynska,Солотвинская,Солотвинська
Teresvianska,Тересвянская,Тересвянська
Tiachivska,Тячевская,Тячівська
Uhlianska,Углянская,Углянська
Ust-Chornianska,Усть-Чорнянская,Усть-Чорнянська
Baranynska,Баранинская,Баранинська
Velykobereznianska,Великоберезнянская,Великоберезнянська
Velykodobronska,Великодобронская,Великодобронська
Dubrynytsko-Malobereznianska,Дубриничско-Малоберезнянская,Дубриницько-Малоберезнянська
Kostrynska,Костринская,Костринська
Onokivska,Оноковская,Оноківська
Perechynska,Перечинская,Перечинська
Serednianska,Среднянская,Середнянська
Stavnenska,Ставненская,Ставненська
Siurtivska,Сюртивская,Сюртівська
Turie-Remetivska,Турье-Реметовская,Тур'є-Реметівська
Uzhhorodska,Ужгородская,Ужгородська
Kholmkivska,Холмковская,Холмківська
Chopska,Чопская,Чопська
Bilkivska,Белковская,Білківська
Vyshkivska,Вышковская,Вишківська
Horinchivska,Горинчовская,Горінчівська
Dovzhanska,Должанская,Довжанська
Drahivska,Драговская,Драгівська
Zarichanska,Заречанская,Зарічанська
Irshavska,Иршавская,Іршавська
Keretskivska,Керецковская,Керецьківська
Kolochavska,Колочавская,Колочавська
Mizhhirska,Межгорская,Міжгірська
Pylypetska,Пилипецкая,Пилипецька
Synevyrska,Синевирская,Синевирська
Khustska,Хустская,Хустська
Andrivska,Андровская,Андрівська
Berdianska,Бердянская,Бердянська
Berestivska,Берестовская,Берестівська
Kolarivska,Коларовская,Коларівська
Osypenkivska,Осипенковская,Осипенківська
Prymorska,Приморская,Приморська
Chernihivska,Черниговская,Чернігівська
Blahovishchenska,Благовещенская,Благовіщенська
Vasylivska,Васильевская,Василівська
Velykobilozerska,Великобелозерская,Великобілозерська
Vodianska,Водянская,Водянська
Dniprorudnenska,Днепрорудненская,Дніпрорудненська
Enerhodarska,Энергодарская,Енергодарська
Kamiansko-Dniprovska,Каменско-Днепровская,Кам'янсько-Дніпровська
Malobilozerska,Малобелозерская,Малобілозерська
Mykhailivska,Михайловская,Михайлівська
Rozdolska,Раздольская,Роздольська
Stepnohirska,Степногорская,Степногірська
Bilenkivska,Беленьковская,Біленьківська
Vilnianska,Вольнянская,Вільнянська
Dolynska,Долинская,Долинська
Zaporizka,Запорожская,Запорізька
Komyshuvaska,Камышевахская,Комишуваська
Kushuhumska,Кушугумская,Кушугумська
Matviivska,Матвеевская,Матвіївська
Mykhailo-Lukashivska,Михайло-Лукашовская,Михайло-Лукашівська
Novomykolaivska,Новониколаевская,Новомиколаївська
Petro-Mykhailivska,Петро-Михайловская,Петро-Михайлівська
Stepnenska,Степненская,Степненська
Tavriiska,Таврийская,Таврійська
Ternuvatska,Терноватская,Тернуватська
Veselivska,Веселовская,Веселівська
Kyrylivska,Кирилловская,Кирилівська
Melitopolska,Мелитопольская,Мелітопольська
Novenska,Новенская,Новенська
Novobohdanivska,Новобогдановская,Новобогданівська
Novovasylivska,Нововасилевская,Нововасилівська
Novouspenivska,Новоуспеновская,Новоуспенівська
Plodorodnenska,Плодородненская,Плодородненська
Pryazovska,Приазовская,Приазовська
Terpinnivska,Терпеньевская,Терпіннівська
Chkalovska,Чкаловская,Чкаловська
Yakymivska,Акимовская,Якимівська
Bilmatska,Бильмакская,Більмацька
Vozdvyzhivska,Воздвижевская,Воздвижівська
Voskresenska,Воскресенская,Воскресенська
Huliaipilska,Гуляйпольская,Гуляйпільська
Komysh-Zorianska,Камыш-Зарянская,Комиш-Зорянська
Malynivska,Малиновская,Малинівська
Malotokmachanska,Малотокмачанская,Малотокмачанська
Molochanska,Молочанская,Молочанська
Orikhivska,Ореховская,Оріхівська
Polohivska,Пологовская,Пологівська
Preobrazhenska,Преображенская,Преображенська
Rozivska,Розовская,Розівська
Smyrnovska,Смирновская,Смирновська
Tokmatska,Токмакская,Токмацька
Fedorivska,Федоровская,Федорівська
Biloberizka,Белоберезская,Білоберізька
Verkhovynska,Верховинская,Верховинська
Zelenska,Зеленская,Зеленська
Bilshivtsivska,Большовцовская,Більшівцівська
Bohorodchanska,Богородчанская,Богородчанська
Bukachivska,Букачевская,Букачівська
Burshtynska,Бурштынская,Бурштинська
Halytska,Галичская,Галицька
Dzvyniatska,Дзвинячская,Дзвиняцька
Dubovetska,Дубовецкая,Дубовецька
Yezupilska,Езупильская,Єзупільська
Zahvizdianska,Загвоздянская,Загвіздянська
Ivano-Frankivska,Ивано-Франковская,Івано-Франківська
Lysetska,Лисецкая,Лисецька
Obertynska,Обертинская,Обертинська
Oleshanska,Олешанская,Олешанська
Rohatynska,Рогатинская,Рогатинська
Starobohorodchanska,Старобогородчанская,Старобогородчанська
Tysmenytska,Тысменицкая,Тисменицька
Tlumatska,Тлумачская,Тлумацька
Uhrynivska,Угриновская,Угринівська
Yamnytska,Ямницкая,Ямницька
Bolekhivska,Болеховская,Болехівська
Broshniv-Osadska,Брошнев-Осадская,Брошнів-Осадська
Verkhnianska,Верхнянская,Верхнянська
Vyhodska,Выгодская,Вигодська
Vytvytska,Витвицкая,Витвицька
Voinylivska,Войниловская,Войнилівська
Kaluska,Калушская,Калуська
Novytska,Новицкая,Новицька
Perehinska,Перегинская,Перегінська
Rozhniativska,Рожнятовская,Рожнятівська
Spaska,Спасская,Спаська
Hvizdetska,Гвоздецкая,Гвіздецька
Horodenkivska,Городенковская,Городенківська
Zabolotivska,Заболотовская,Заболотівська
Kolomyiska,Коломыйская,Коломийська
Korshivska,Коршевская,Коршівська
Mateivetska,Матеевецкая,Матеївецька
Nyzhnoverbizka,Нижневербижская,Нижньовербізька
Otyniiska,Отынийская,Отинійська
Pechenizhynska,Печиніжинская,Печеніжинська
Pidhaichykivska,Подгайчиковская,Підгайчиківська
Piadytska,Пядикская,П'ядицька
Sniatynska,Снятынская,Снятинська
Chernelytska,Чернелицкая,Чернелицька
Kosivska,Косовская,Косівська
Kosmatska,Космачская,Космацька
Kutska,Кутская,Кутська
Rozhnivska,Рожновская,Рожнівська
Yablunivska,Яблоновская,Яблунівська
Vorokhtianska,Ворохтянская,Ворохтянська
Deliatynska,Делятинская,Делятинська
Lanchynska,Ланчинская,Ланчинська
Nadvirnianska,Надворнянская,Надвірнянська
Pasichnianska,Пасечнянская,Пасічнянська
Pererislianska,Перерослянская,Переріслянська
Polianytska,Поляницкая,Поляницька
Yaremchanska,Яремчанская,Яремчанська
Chornobyl Exclusion Zone,Чернобыльская зона отчуждения,Чорнобильська зона відчуження
Bilotserkivska,Белоцерковская,Білоцерківська
Volodarska,Володарская,Володарська
Hrebinkivska,Гребенковская,Гребінківська
Kovalivska,Ковалевская,Ковалівська
Malovilshanska,Малоольшанская,Маловільшанська
Medvynska,Медвинская,Медвинська
Rokytnianska,Ракитнянская,Рокитнянська
Skvyrska,Сквирская,Сквирська
Stavyshchenska,Ставищенская,Ставищенська
Tarashchanska,Таращанская,Таращанська
Tetiivska,Тетиевская,Тетіївська
Uzynska,Узинская,Узинська
Fursivska,Фурсовская,Фурсівська
Boryspilska,Бориспольская,Бориспільська
Voronkivska,Воронковская,Вороньківська
Hirska,Горская,Гірська
Divychkivska,Девичковская,Дівичківська
Zolochivska,Золочевская,Золочівська
Pereiaslavska,Переяславская,Переяславська
Prystolychna,Пристоличная,Пристолична
Studenykivska,Студениковская,Студениківська
Tashanska,Ташанская,Ташанська
Tsyblivska,Цибливская,Циблівська
Yahotynska,Яготинская,Яготинська
Baryshivska,Барышевская,Баришівська
Berezanska,Березанская,Березанська
Brovarska,Броварская,Броварська
Velykodymerska,Великодымерская,Великодимерська
Zazymska,Зазимская,Зазимська
Zghurivska,Згуровская,Згурівська
Kalytianska,Калитянская,Калитянська
Bilohorodska,Белогородская,Білогородська
Borodianska,Бородянская,Бородянська
Borshchahivska,Борщаговская,Борщагівська
Buchanska,Бучанская,Бучанська
Vyshneva,Вишневая,Вишнева
Hostomelska,Гостомельская,Гостомельська
Dmytrivska,Дмитровская,Дмитрівська
Irpinska,Ирпенская,Ірпінська
Kotsiubynska,Коцюбинская,Коцюбинська
Makarivska,Макаровская,Макарівська
Nemishaivska,Немешаевская,Немішаївська
Piskivska,Песковская,Пісківська
Vyshhorodska,Вышгородская,Вишгородська
Dymerska,Дымерская,Димерська
Ivankivska,Иванковская,Іванківська
Petrivska,Петровская,Петрівська
Pirnivska,Пирновская,Пірнівська
Poliska,Полесская,Поліська
Slavutytska,Славутичская,Славутицька
Bohuslavska,Богуславская,Богуславська
Kaharlytska,Кагарлыкская,Кагарлицька
Kozynska,Козинская,Козинська
Myronivska,Мироновская,Миронівська
Rzhyshchivska,Ржищевская,Ржищівська
Feodosiivska,Феодосиевская,Феодосіївська
Byshivska,Бышевская,Бишівська
Boiarska,Боярская,Боярська
Hatnenska,Гатненская,Гатненська
Hlevakhivska,Глеваховская,Глевахівська
Kozhanska,Кожанская,Кожанська
Tomashivska,Томашовская,Томашівська
Fastivska,Фастовская,Фастівська
Chabanivska,Чабановская,Чабанівська
Haivoronska,Гайворонская,Гайворонська
Holovanivska,Голованевская,Голованівська
Zavallivska,Завальевская,Заваллівська
Nadlatska,Надлакская,Надлацька
Novoarkhanhelska,Новоархангельская,Новоархангельська
Perehonivska,Перегоновская,Перегонівська
Pidvysotska,Подвысоцкая,Підвисоцька
Pobuzka,Побугская,Побузька
Adzhamska,Аджамская,Аджамська
Bobrynetska,Бобринецкая,Бобринецька
Velykoseverynivska,Великосевериновская,Великосеверинівська
Hurivska,Гуровская,Гурівська
Znamianska,Знаменская,Знам'янська
Katerynivska,Катериновская,Катеринівська
Ketrysanivska,Кетрисановская,Кетрисанівська
Kompaniivska,Компанеевская,Компаніївська
Kropyvnytska,Кропивницкая,Кропивницька
Novhorodkivska,Новгородковская,Новгородківська
Pervozvanivska,Первозвановская,Первозванівська
Sokolivska,Соколовская,Соколівська
Subottsivska,Субботцевская,Суботцівська
Ustynivska,Устиновская,Устинівська
Hannivska,Анновская,Ганнівська
Hlodoska,Глодосская,Глодоська
Dobrovelychkivska,Добровеличковская,Добровеличківська
Zlynska,Злынская,Злинська
Malovyskivska,Маловисковская,Маловисківська
Novomyrhorodska,Новомиргородская,Новомиргородська
Novoukrainska,Новоукраинская,Новоукраїнська
Pishchanobridska,Песчанобродская,Піщанобрідська
Pomichnianska,Помошнянская,Помічнянська
Rivnianska,Ровнянская,Рівнянська
Smolinska,Смолинская,Смолінська
Tyshkivska,Тишковская,Тишківська
Velykoandrusivska,Великоандрусовская,Великоандрусівська
Novoprazka,Новопражская,Новопразька
Oleksandriiska,Александрийская,Олександрійська
Onufriivska,Онуфриевская,Онуфріївська
Pantaivska,Пантаевская,Пантаївська
Popelnastivska,Попельнастовская,Попельнастівська
Pryiutivska,Приютовская,Приютівська
Svitlovodska,Светловодская,Світловодська
Alchevska,Алчевская,Алчевська
Zymohirivska,Зимогорьевская,Зимогір'ївська
Kadiivska,Кадиевская,Кадіївська
Sorokynska,Сорокинская,Сорокинська
Luhanska,Луганская,Луганська
Lutuhynska,Лутугинская,Лутугинська
Molodohvardiiska,Молодогвардейская,Молодогвардійська
Antratsytivska,Антрацитовская,Антрацитівська
Rovenkivska,Ровеньковская,Ровеньківська
Khrustalnenska,Хрустальненская,Хрустальненська
Bilokurakynska,Белокуракинская,Білокуракинська
Kolomyichyska,Коломыйчихская,Коломийчиська
Krasnorichenska,Краснореченская,Красноріченська
Lozno-Oleksandrivska,Лозно-Александровская,Лозно-Олександрівська
Nyzhnoduvanska,Нижнедуванская,Нижньодуванська
Svativska,Сватовская,Сватівська
Kreminska,Кременская,Кремінська
Lysychanska,Лисичанская,Лисичанська
Popasnianska,Попаснянская,Попаснянська
Rubizhanska,Рубежанская,Рубіжанська
Sievierodonetska,Северодонецкая,Сєвєродонецька
Bilovodska,Беловодская,Біловодська
Bilolutska,Белолуцкая,Білолуцька
Markivska,Марковская,Марківська
Milovska,Меловская,Міловська
Novopskovska,Новопсковская,Новопсковська
Starobilska,Старобельская,Старобільська
Chmyrivska,Чмыровская,Чмирівська
Shulhynska,Шульгинская,Шульгинська
Nyzhnoteplivska,Нижнетепловская,Нижньотеплівська
Novoaidarska,Новоайдарская,Новоайдарська
Stanychno-Luhanska,Станично-Луганская,Станично-Луганська
Shchastynska,Счастьенская,Щастинська
Boryslavska,Бориславская,Бориславська
Drohobytska,Дрогобычская,Дрогобицька
Medenytska,Меденичская,Меденицька
Skhidnytska,Сходницкая,Східницька
Truskavetska,Трускавецкая,Трускавецька
Brodivska,Бродовская,Бродівська
Buska,Бусская,Буська
Zabolottsivska,Заболотцевская,Заболотцівська
Krasnenska,Красненская,Красненська
Pidkaminska,Подкаменская,Підкамінська
Pomorianska,Поморянская,Поморянська
Bibrska,Бобркская,Бібрська
Velykoliubinska,Великолюбенская,Великолюбінська
Hlynianska,Глинянская,Глинянська
Horodotska,Городокская,Городоцька
Davydivska,Давыдовская,Давидівська
Dobrosynsko-Maherivska,Добросинско-Магеровская,Добросинсько-Магерівська
Zhovkivska,Жолковская,Жовківська
Zhovtanetska,Жовтанецкая,Жовтанецька
Zymnovodivska,Зимноводовская,Зимноводівська
Kamianka-Buzka,Каменка-Бугская,Кам'янка-Бузька
Komarnivska,Комарновская,Комарнівська
Kulykivska,Куликовская,Куликівська
Lvivska,Львовская,Львівська
Murovanska,Мурованская,Мурованська
Novoiarychivska,Новоярычевская,Новояричівська
Obroshynska,Оброшинская,Оброшинська
Peremyshlianska,Перемышлянская,Перемишлянська
Pidberiztsivska,Подберезцевская,Підберізцівська
Pustomytivska,Пустомытовская,Пустомитівська
Rava-Ruska,Рава-Русская,Рава-Руська
Sokilnytska,Сокольникская,Сокільницька
Solonkivska,Солонковская,Солонківська
Shchyretska,Щирецкая,Щирецька
Biskovytska,Бисковичская,Бісковицька
Borynska,Борынская,Боринська
Dobromylska,Добромильская,Добромильська
Novokalynivska,Новокалиновская,Новокалинівська
Ralivska,Ралевская,Ралівська
Rudkivska,Рудковская,Рудківська
Sambirska,Самборская,Самбірська
Starosambirska,Старосамборская,Старосамбірська
Strilkivska,Стрелковская,Стрілківська
Turkivska,Турковская,Турківська
Khyrivska,Хыровская,Хирівська
Hnizdychivska,Гнездычевская,Гніздичівська
Hrabovetsko-Dulibivska,Грабовецко-Дулибовская,Грабовецько-Дулібівська
Zhydachivska,Жидачовская,Жидачівська
Zhuravnenska,Журавненская,Журавненська
Kozivska,Козевская,Козівська
Morshynska,Моршинская,Моршинська
Novorozdilska,Новороздольская,Новороздільська
Rozvadivska,Розвадовская,Розвадівська
Skolivska,Сколевская,Сколівська
Slavska,Славская,Славська
Stryiska,Стрыйская,Стрийська
Khodorivska,Ходоровская,Ходорівська
Belzka,Белзская,Белзька
Velykomostivska,Великомостовская,Великомостівська
Dobrotvirska,Добротворская,Добротвірська
Lopatynska,Лопатинская,Лопатинська
Radekhivska,Радеховская,Радехівська
Sokalska,Сокальская,Сокальська
Chervonohradska,Червоноградская,Червоноградська
Mostyska,Мостисская,Мостиська
Novoiavorivska,Новояворовская,Новояворівська
Sudovovyshnianska,Судововишнянская,Судововишнянська
Shehynivska,Шегиновская,Шегинівська
Yavorivska,Яворовская,Яворівська
Bashtanska,Баштанская,Баштанська
Bereznehuvatska,Березнеговатская,Березнегуватська
Vilnozaporizka,Вольнозапорожская,Вільнозапорізька
Volodymyrivska,Владимировская,Володимирівська
Inhulska,Ингульская,Інгульська
Kazankivska,Казанковская,Казанківська
Novobuzka,Новобугская,Новобузька
Pryvilnenska,Привольненская,Привільненська
Snihurivska,Снигиревская,Снігурівська
Bratska,Братская,Братська
Buzka,Бугская,Бузька
Veselynivska,Веселиновская,Веселинівська
Voznesenska,Вознесенская,Вознесенська
Domanivska,Доманевская,Доманівська
Doroshivska,Дорошовская,Дорошівська
Yelanetska,Еланецкая,Єланецька
Mostivska,Мостовская,Мостівська
Novomarivska,Новомарьевская,Новомар'ївська
Prybuzhanivska,Прибужановская,Прибужанівська
Prybuzka,Прибужская,Прибузька
Yuzhnoukrainska,Южноукраинская,Южноукраїнська
Vesnianska,Веснянская,Веснянська
Halytsynivska,Галицыновская,Галицинівська
Koblivska,Коблевская,Коблівська
Kutsurubska,Куцурубская,Куцурубська
Mishkovo-Pohorilivska,Мешково-Погореловская,Мішково-Погорілівська
Nechaianska,Нечаянская,Нечаянська
Novoodeska,Новоодесская,Новоодеська
Olshanska,Ольшанская,Ольшанська
Ochakivska,Очаковская,Очаківська
Pervomaiska,Первомайская,Первомайська
Radsadivska,Радсадовская,Радсадівська
Stepivska,Степовская,Степівська
Sukhoielanetska,Сухоеланецкая,Сухоєланецька
Chornomorska,Черноморская,Чорноморська
Shevchenkivska,Шевченковская,Шевченківська
Arbuzynska,Арбузинская,Арбузинська
Blahodatnenska,Благодатненская,Благодатненська
Vradiivska,Врадиевская,Врадіївська
Kamianomostivska,Каменномостовская,Кам'яномостівська
Kryvoozerska,Кривоозерская,Кривоозерська
Myhiivska,Мигиевская,Мигіївська
Syniukhynobridska,Синюхинобродская,Синюхинобрідська
Andriievo-Ivanivska,Андреево-Ивановская,Андрієво-Іванівська
Velykobuialytska,Великобуялицкая,Великобуялицька
Konoplianska,Коноплянская,Коноплянська
Kurisovska,Курисовская,Курісовська
Novokalchevska,Новокальчевская,Новокальчевська
Petrovirivska,Петроверовская,Петровірівська
Raukhivska,Рауховская,Раухівська
Rozkvitivska,Розквитовская,Розквітівська
Staromaiakivska,Старомаяковская,Старомаяківська
Striukivska,Стрюковская,Стрюківська
Chohodarivska,Чегодаровская,Чогодарівська
Shyriaivska,Ширяевская,Ширяївська
Bilhorod-Dnistrovska,Белгород-Днестровская,Білгород-Дністровська
Dyviziiska,Дивизийская,Дивізійська
Karolino-Buhazka,Каролино-Бугазская,Кароліно-Бугазька
Kulevchanska,Кулевчанская,Кулевчанська
Marazliivska,Маразлиевская,Маразліївська
Molohivska,Мологовская,Мологівська
Plakhtiivska,Плахтиевская,Плахтіївська
Saratska,Саратская,Саратська
Serhiivska,Сергеевская,Сергіївська
Starokozatska,Староказацкая,Старокозацька
Tatarbunarska,Татарбунарская,Татарбунарська
Tuzlivska,Тузловская,Тузлівська
Uspenivska,Успеновская,Успенівська
Shabivska,Шабовская,Шабівська
Artsyzka,Арцизская,Арцизька
Bolhradska,Болградская,Болградська
Borodinska,Бородинская,Бородінська
Vasylivska,Василевская,Василівська
Horodnenska,Городненская,Городненська
Krynychnenska,Крынычненская,Криничненська
Kubeiska,Кубейская,Кубейська
Tarutynska,Тарутинская,Тарутинська
Teplytska,Теплицкая,Теплицька
Vylkivska,Вилковская,Вилківська
Izmailska,Измаильская,Ізмаїльська
Kiliiska,Килийская,Кілійська
Reniiska,Ренийская,Ренійська
Safianivska,Сафьяновская,Саф'янівська
Suvorovska,Суворовская,Суворовська
Avanhardivska,Авангардская,Авангардівська
Biliaivska,Беляевская,Біляївська
Velykodalnytska,Великодальникская,Великодальницька
Velykodolynska,Великодолинская,Великодолинська
Vyhodianska,Выгодянская,Вигодянська
Vyzyrska,Визирская,Визирська
Dalnytska,Дальникская,Дальницька
Dachnenska,Дачненская,Дачненська
Dobroslavska,Доброславская,Доброславська
Krasnosilska,Красносельская,Красносільська
Maiakivska,Маяковская,Маяківська
Nerubaiska,Нерубайская,Нерубайська
Ovidiopolska,Овидиопольская,Овідіопольська
Odeska,Одесская,Одеська
Tairovska,Таировская,Таїровська
Teplodarska,Теплодарская,Теплодарська
Usativska,Усатовская,Усатівська
Fontanska,Фонтанская,Фонтанська
Yuzhnenska,Южненская,Южненська
Yaskivska,Яськовская,Яськівська
Ananivska,Ананьевская,Ананьївська
Baltska,Балтская,Балтська
Zelenohirska,Зеленогорская,Зеленогірська
Kodymska,Кодымская,Кодимська
Kuialnytska,Куяльникская,Куяльницька
Liubashivska,Любашевская,Любашівська
Oknianska,Окнянская,Окнянська
Podilska,Подольская,Подільська
Savranska,Савранская,Савранська
Slobidska,Слободская,Слобідська
Velykoploskivska,Великоплосковская,Великоплосківська
Zatyshanska,Затишанская,Затишанська
Zakharivska,Захаровская,Захарівська
Novoborysivska,Новоборисовская,Новоборисівська
Rozdilnianska,Раздельнянская,Роздільнянська
Stepanivska,Степановская,Степанівська
Tsebrykivska,Цебриковская,Цебриківська
Hlobynska,Глобинская,Глобинська
Horishnoplavnivska,Горишнеплавневская,Горішньоплавнівська
Hradyzka,Градижская,Градизька
Kamianopotokivska,Каменнопотоковская,Кам'янопотоківська
Kozelshchynska,Козельщинская,Козельщинська
Kremenchutska,Кременчугская,Кременчуцька
Novohaleshchynska,Новогалещинская,Новогалещинська
Obolonska,Оболонская,Оболонська
Omelnytska,Омельникская,Омельницька
Pryshybska,Пришибская,Пришибська
Lubenska,Лубенская,Лубенська
Novoorzhytska,Новооржицкая,Новооржицька
Orzhytska,Оржицкая,Оржицька
Pyriatynska,Пирятинская,Пирятинська
Khorolska,Хорольская,Хорольська
Chornukhynska,Чернухинская,Чорнухинська
Velykobahachanska,Великобагачанская,Великобагачанська
Velykobudyshchanska,Великобудищанская,Великобудищанська
Velykosorochynska,Великосорочинская,Великосорочинська
