English,Russian,Ukrainian
Zatyshnianska,Затишнянская,Затишнянська
Kamianska,Каменская,Кам'янська
Krynychanska,Криничанская,Криничанська
Lykhivska,Лиховская,Лихівська
Piatykhatska,Пятихатская,П'ятихатська
Saksahanska,Саксаганская,Саксаганська
Apostolivska,Апостоловская,Апостолівська
Vakulivska,Вакуловская,Вакулівська
Hleiuvatska,Глееватская,Глеюватська
Hrechanopodivska,Гречаноподовская,Гречаноподівська
Hrushivska,Грушевская,Грушівська
Devladivska,Девладовская,Девладівська
Zelenodolska,Зеленодольская,Зеленодольська
Karpivska,Карповcкая,Карпівська
Kryvorizka,Криворожская,Криворізька
Lozuvatska,Лозоватская,Лозуватська
Nyvotrudivska,Нивотрудовская,Нивотрудівська
Novolativska,Новолатовская,Новолатівська
Novopilska,Новопольская,Новопільська
Sofiivska,Софиевская,Софіївська
Shyrokivska,Широковская,Широківська
Marhanetska,Марганецкая,Марганецька
Myrivska,Мировская,Мирівська
Nikopolska,Никопольская,Нікопольська
Pershotravnevska,Першотравневская,Першотравневська
Pokrovska,Покровская,Покровська
Tomakivska,Томановская,Томаківська
Chervonohryhorivska,Червоногригоровская,Червоногригорівська
Hubynyska,Губинихская,Губиниська
Lychkivska,Лычковская,Личківська
Mahdalynivska,Мигдалиновская,Магдалинівська
Novomoskovska,Новомосковская,Новомосковська
Pereshchepynska,Перещепинская,Перещепинська
Cherkaska,Черкасская,Черкаська
Chernechchynska,Чернетчинская,Чернеччинська
Bohdanivska,Богдановская,Богданівська
Verbkivska,Вербковская,Вербківська
Mezhyritska,Межиричская,Межиріцька
Pavlohradska,Павлоградская,Павлоградська
Ternivska,Терновская,Тернівська
Troitska,Троицкая,Троїцька
Yurivska,Юрьевская,Юр'ївська
Brahynivska,Брагиновская,Брагинівська
Vasylkivska,Васильковская,Васильківська
Velykomykhailivska,Великомихайловская,Великомихайлівська
Dubovykivska,Дубовикивская,Дубовиківська
Zaitsivska,Зайцевская,Зайцівська
Ilarionivska,Илларионовская,Іларіонівська
