English,Russian,Ukrainian
Novyi Trud,Новый Труд,Новий Труд
Novoielyzavetivka,Новоелизаветовка,Новоєлизаветівка
Rih,Рог,Ріг
Sribne,Срибное,Срібне
Sukhyi Yar,Сухой Яр,Сухий Яр
Troianda,Троянда,Троянда
Yasenove,Ясеновое,Ясенове
Kotlyne,Котлино,Котлине
Nadezhdynka,Надеждинка,Надеждинка
Novopustynka,Новопустынка,Новопустинка
Chunyshyne,Чунишино,Чунишине
Selydove,Селидово,Селидове
Ukrainsk,Украинск,Українськ
Tsukuryne,Цукурино,Цукурине
Muravka,Муравка,Муравка
Shakhove,Шахово,Шахове
Boikivka,Бойковка,Бойківка
Zolotyi Kolodiaz,Золотой Колодезь,Золотий Колодязь
Koptieve,Коптево,Коптєве
Kucheriv Yar,Кучеров Яр,Кучерів Яр
Nykanorivka,Никаноровка,Никанорівка
Nove Shakhove,Новое Шахово,Нове Шахове
Pankivka,Панковка,Панківка
Brovky Druhi,Бровки-Вторые,Бровки Другі
Brovky Pershi,Бровки-Первые,Бровки Перші
Volosiv,Волосов,Волосів
Halchyn,Гальчин,Гальчин
Harapivka,Гараповка,Гарапівка
Hrada,Града,Града
Zherdeli,Жердели,Жерделі
Zarubyntsi,Зарубинцы,Зарубинці
Kameni,Камени,Камені
Lebedyntsi,Лебединцы,Лебединці
Mala Piatyhirka,Малая Пятигорка,Мала П'ятигірка
Minkivtsi,Миньковцы,Міньківці
Nekhvoroshch,Нехворощ,Нехворощ
Nova Kotelnia,Новая Котельня,Нова Котельня
Pavelky,Павелки,Павелки
Yareshky,Ярешки,Ярешки
Yaropovychi,Яроповичи,Яроповичі
Berdychiv,Бердичев,Бердичів
Skrahlivka,Скраглевка,Скраглівка
Vchoraishe,Вчерайше,Вчорайше
Bystriivka,Быстреевка,Бистріївка
Krylivka,Крыловка,Крилівка
Mala Cherniavka,Малая Чернявка,Мала Чернявка
Mali Nyzghirtsi,Малые Низгорцы,Малі Низгірці
Nova Chornorudka,Новая Чернорудка,Нова Чорнорудка
Rostavytsia,Раставица,Роставиця
Chornorudka,Чернорудка,Чорнорудка
Shpychyntsi,Шпичинцы,Шпичинці
Yaroslavka,Ярославка,Ярославка
Hryshkivtsi,Гришковцы,Гришківці
Ahativka,Агатовка,Агатівка
Hvizdava,Гвоздава,Гвіздава
Kukilnia,Кукильня,Кукільня
Nykonivka,Никоновка,Никонівка
Novyi Solotvyn,Новый Солотвин,Новий Солотвин
Polovetske,Половецкое,Половецьке
Reia,Рея,Рея
Skakivka,Скаковка,Скаківка
Staryi Solotvyn,Старый Солотвин,Старий Солотвин
Khmelyshche,Хмелище,Хмелище
Bezpechna,Беспечная,Безпечна
Zherebky,Жеребки,Жеребки
Lykhosilka,Лихоселка,Лихосілка
Medvedykha,Медведиха,Медведиха
Molochky,Молочки,Молочки
Motrunky,Мотрунки,Мотрунки
Nosivky,Носовки,Носівки
Pevna,Певна,Певна
Stetkivtsi,Стетковцы,Стетківці
Benedivka,Бенедовка,Бенедівка
Buriaky,Буряки,Буряки
Velyka Piatyhirka,Великая Пятигорка,Велика П'ятигірка
Hardyshivka,Гардышевка,Гардишівка
Zhytyntsi,Житинцы,Житинці
Kustyn,Кустин,Кустин
Lemeshi,Лемеши,Лемеші
Lisova Slobidka,Лесовая Слободка,Лісова Слобідка
Ozadivka,Озадовка,Озадівка
Berezianka,Березянка,Березянка
Bilylivka,Белиловка,Білилівка
Verkhivnia,Верховня,Верхівня
Vilnopillia,Вольнополье,Вільнопілля
Derhanivka,Дергановка,Дерганівка
Karabchyiv,Карабчиев,Карабчиїв
Kniazhyky,Княжики,Княжики
Kordonivka,Кордоновка,Кордонівка
Kotelianka,Котелянка,Котелянка
Movchanivka,Молчановка,Мовчанівка
Ploska,Плоская,Плоска
Prychepivka,Причеповка,Причепівка
Rohachi,Рогачи,Рогачі
Sakhny,Сахны,Сахни
Topory,Топоры,Топори
Trubiivka,Трубиевка,Трубіївка
Cheremukha,Черемуха,Черемуха
Chekhova,Чехова,Чехова
Yahniatyn,Ягнятин,Ягнятин
Horodotske,Городокское,Городоцьке
Movchanivske,Молчановское,Мовчанівське
Velyki Hadomtsi,Великие Гадомцы,Великі Гадомці
Velyki Nyzghirtsi,Великие Низгорцы,Великі Низгірці
Zakutyntsi,Закутинцы,Закутинці
Kykyshivka,Кикишовка,Кикишівка
Krasivka,Красовка,Красівка
Mali Hadomtsi,Малые Гадомцы,Малі Гадомці
Nova Oleksandrivka,Новая Александровка,Нова Олександрівка
Synhaivka,Сингаевка,Сингаївка
Terekhove,Терехово,Терехове
Khazhyn,Хажин,Хажин
Velyki Moshkivtsi,Великие Мошковцы,Великі Мошківці
Hlynivtsi,Глиновцы,Глинівці
Kotivka,Котовка,Котівка
Mali Moshkivtsi,Малые Мошковцы,Малі Мошківці
Shvaikivka,Швайковка,Швайківка
Demchyn,Демчин,Демчин
Malosilka,Малоселка,Малосілка
Berizky,Березки,Берізки
Andrushky,Андрушки,Андрушки
Kharliivka,Харлиевка,Харліївка
Novopavolotske,Новопаволоцкое,Новопаволоцьке
Barashivka,Барашевка,Барашівка
Boliarka,Болярка,Болярка
Bondartsi,Бондарцы,Бондарці
Davydivka,Давыдовка,Давидівка
Nova Vasylivka,Новая Василевка,Нова Василівка
Rudkivka,Рудковка,Рудківка
Brusyliv,Брусилов,Брусилів
Bykiv,Быков,Биків
Boliachiv,Болячев,Болячів
Vilshka,Вильшка,Вільшка
Vodotyi,Водотыи,Водотиї
Dyvyn,Дивин,Дивин
Dubrivka,Дубровка,Дубрівка
Zapadnia,Западня,Западня
Karabachyn,Карабачин,Карабачин
Kovhanivka,Ковгановка,Ковганівка
Kostivtsi,Костовцы,Костівці
Krakivshchyna,Краковщина,Краківщина
Mistechko,Мистечко,Містечко
Novi Ozeriany,Новые Озеряны,Нові Озеряни
Ozera,Озера,Озера
Pylyponka,Пилипонка,Пилипонка
Pokryshiv,Покрышев,Покришів
Pryvorottia,Приворотье,Привороття
Skochyshche,Скочище,Скочище
Soloviivka,Соловеевка,Соловіївка
Starytske,Старицкое,Старицьке
Khomutets,Хомутец,Хомутець
Khomianka,Хомянка,Хом'янка
Yastrubenka,Яструбенька,Яструбенька
Zabriddia,Забродье,Забріддя
Osnyky,Осники,Осники
Shcheniiv,Щениев,Щеніїв
Vyshevychi,Вышевичи,Вишевичі
Vepryn,Веприн,Веприн
Vyrva,Вырва,Вирва
Irsha,Ирша,Ірша
Makalevychi,Макалевичи,Макалевичі
Mezhyrichka,Межиречка,Межирічка
Beizymivka,Бейзимовка,Бейзимівка
Volosivka,Волосовка,Волосівка
Haliivka,Галиевка,Галіївка
Karpivtsi,Карповцы,Карпівці
Kilky,Колки,Кілки
Mala Volytsia,Малая Волица,Мала Волиця
Podoliantsi,Подолянцы,Подолянці
Yasopil,Ясополь,Ясопіль
Borok,Борок,Борок
Ivnytsia,Ивница,Івниця
Korchmyshche,Корчмище,Корчмище
Stara Kotelnia,Старая Котельня,Стара Котельня
Novoivnytske,Новоивницкое,Новоівницьке
Hlybochytsia,Глубочица,Глибочиця
Velyki Kosharyshcha,Великие Кошарища,Великі Кошарища
Hadzynka,Гадзинка,Гадзинка
Horodenka,Городенка,Городенка
Klitchyn,Клетчин,Клітчин
Kmytiv,Кмитов,Кмитів
Mali Kosharyshcha,Малые Кошарища,Малі Кошарища
Nova Vyhoda,Новая Выгода,Нова Вигода
Rudenka,Руденька,Руденька
Bila Krynytsia,Белая Криница,Біла Криниця
Osiv,Осов,Осів
Zhytomyr,Житомир,Житомир
Veresy,Вересы,Вереси
Velyka Cherniavka,Великая Чернявка,Велика Чернявка
Dekhtiarka,Дехтярка,Дехтярка
Yerchyky,Ерчики,Єрчики
Koshliaky,Кошляки,Кошляки
Pochuiky,Почуйки,Почуйки
Kornyn,Корнин,Корнин
Luchyn,Лучин,Лучин
Mysheryne,Мишерино,Мишерине
Mokhnachka,Мохначка,Мохначка
Sushchanka,Сущанка,Сущанка
Turbivka,Турбовка,Турбівка
Kornynske,Корнинское,Корнинське
Korostyshiv,Коростышев,Коростишів
Bilkivtsi,Бельковцы,Більківці
Bobryk,Бобрик,Бобрик
Brazhenets,Браженец,Браженець
Vydumka,Выдумка,Видумка
Vilenka,Виленка,Віленька
Vilnia,Вольня,Вільня
Vilnianka,Вольнянка,Вільнянка
Hrubske,Грубское,Грубське
Zdvyzhka,Здвижка,Здвижка
Kozak,Казак,Козак
Kolodiazky,Колодезьки,Колодязьки
Krasylivka,Красиловка,Красилівка
Onyshpil,Онишполь,Онишпіль
Produbiivka,Продубиевка,Продубіївка
Stryzhivka,Стрижевка,Стрижівка
Strutsivka,Струцовка,Струцівка
Tesnivka,Тесновка,Теснівка
Tsarivka,Царевка,Царівка
Shchyhliivka,Щеглиевка,Щигліївка
Kurne,Курное,Курне
Berezova Hat,Березовая Гать,Березова Гать
Bilka,Белка,Білка
Velykyi Luh,Великий Луг,Великий Луг
Hruzlyvets,Грузливец,Грузливець
Zelena Dibrova,Зеленая Диброва,Зелена Діброва
Kalynovyi Hai,Калиновый Гай,Калиновий Гай
Muravnia,Муравня,Муравня
Rudokopy,Рудокопы,Рудокопи
Sokoliv,Соколов,Соколів
Stara Rudnia,Старая Рудня,Стара Рудня
Staryi Maidan,Старый Майдан,Старий Майдан
Strybizh,Стрибеж,Стрибіж
Tenkivka,Теньковка,Теньківка
Tetirka,Тетерка,Тетірка
Ulashanivka,Улашановка,Улашанівка
Khodorivka,Ходоровка,Ходорівка
Tsvitianka,Цветянка,Цвітянка
Chervonosilka,Червоноселка,Червоносілка
Sheremetiv,Шереметев,Шереметів
Liubar,Любар,Любар
Avratyn,Авратин,Авратин
Bycheva,Бичева,Бичева
Borushkivtsi,Борушковцы,Борушківці
Velyka Volytsia,Великая Волица,Велика Волиця
Velykyi Brataliv,Великий Браталов,Великий Браталів
Velyki Derevychi,Великие Деревичи,Великі Деревичі
Velykobratalivske,Великобраталовское,Великобраталівське
Veselka,Веселка,Веселка
Hizivshchyna,Гизовщина,Гізівщина
Hlezne,Глезно,Глезне
Horopai,Горопаи,Горопаї
Hrynivtsi,Гриновцы,Гринівці
Hromada,Громада,Громада
Demkivtsi,Демковцы,Демківці
Kyryivka,Киреевка,Кириївка
Kovalenky,Коваленки,Коваленки
Korostky,Коростки,Коростки
Kutyshche,Кутище,Кутище
Mala Derevychka,Малая Деревичка,Мала Деревичка
Malyi Brataliv,Малый Браталов,Малий Браталів
Melentsi,Меленцы,Меленці
Motovylivka,Мотовиловка,Мотовилівка
Nova Chortoryia,Новая Чертория,Нова Чортория
Novyi Liubar,Новый Любар,Новий Любар
Pedynka,Педынка,Пединка
Peretik,Переток,Перетік
Pryvitiv,Приветов,Привітів
Provalivka,Проваловка,Провалівка
Stara Chortoryia,Старая Чертория,Стара Чортория
Staryi Liubar,Старый Любар,Старий Любар
Fylyntsi,Филинцы,Филинці
Dertka,Дертка,Дертка
Mala Kozara,Малая Козара,Мала Козара
Pavolochka,Паволочка,Паволочка
Pechanivka,Печановка,Печанівка
Pylypo-Koshara,Пилипо-Кошара,Пилипо-Кошара
Nova Borova,Новая Боровая,Нова Борова
Valky,Валки,Валки
Hatskivka,Гацковка,Гацьківка
Isakivka,Исаковка,Ісаківка
Kamianyi Brid,Каменный Брод,Кам'яний Брід
Krasnorichka,Красноречка,Краснорічка
Lukovets,Луковец,Луковець
Nebizh,Небеж,Небіж
Rudnia-Hatskivka,Рудня-Гацковка,Рудня-Гацьківка
Rudnia-Fasova,Рудня-Фасова,Рудня-Фасова
Staryi Bobryk,Старый Бобрик,Старий Бобрик
Tomashivka,Томашовка,Томашівка
Turchynka,Турчинка,Турчинка
Fasova,Фасова,Фасова
Khychiv,Хичев,Хичів
Yahodynka,Ягодинка,Ягодинка
Yahodynka Druha,Ягодинка-Вторая,Ягодинка Друга
Novohuivynske,Новогуйвинское,Новогуйвинське
Huiva,Гуйва,Гуйва
Vertokyivka,Вертокиевка,Вертокиївка
Holovenka,Головенка,Головенка
Dvirets,Дворец,Двірець
Zaliznia,Зализня,Залізня
Kruty,Круты,Крути
Ozerianka,Озерянка,Озерянка
Pavlenkivka,Павленковка,Павленківка
Priazhiv,Пряжев,Пряжів
Rudnia-Horodyshche,Рудня-Городище,Рудня-Городище
Ruzhky,Ружки,Ружки
Sinhury,Сингуры,Сінгури
Stavetske,Ставецкое,Ставецьке
Troianiv,Троянов,Троянів
Oliivka,Олиевка,Оліївка
Vyshpil,Вышполь,Вишпіль
Vilsk,Вильск,Вільськ
Dovzhyk,Должик,Довжик
Zorokiv,Зороков,Зороків
Ivanovychi,Ивановичи,Івановичі
Kruchenets,Крученец,Крученець
Nekrashi,Некраши,Некраші
Okilok,Околок,Окілок
Svityn,Свитын,Світин
Trokovychi,Троковичи,Троковичі
Shcherbyny,Щербины,Щербини
Yalynivka,Ялыновка,Ялинівка
Popilnia,Попельня,Попільня
Bukhalivshchyna,Бухаловщина,Бухалівщина
Velyki Lisivtsi,Великие Лесовцы,Великі Лісівці
Holubiatyn,Голубятин,Голуб'ятин
Kotliarka,Котлярка,Котлярка
Kryve,Кривое,Криве
Lypky,Липки,Липки
Markova Volytsia,Маркова Волица,Маркова Волиця
Pavoloch,Паволочь,Паволоч
Parypsy,Парипсы,Парипси
Pustelnyky,Пустельники,Пустельники
Savertsi,Саверцы,Саверці
Sokilcha,Сокольча,Сокільча
Sokoliv Brid,Соколов Брод,Соколів Брід
Strokiv,Строков,Строків
Khodorkiv,Ходорков,Ходорків
Potiivka,Потиевка,Потіївка
Buhlaky,Буглаки,Буглаки
Budylivka,Будиловка,Будилівка
Vykhlia,Вихля,Вихля
Vivche,Вивче,Вівче
Hryshkivka,Гришковка,Гришківка
Huta-Potiivka,Гута-Потиевка,Гута-Потіївка
Ditynets,Детинец,Дітинець
Dorohun,Дорогунь,Дорогунь
Dubovyk,Дубовик,Дубовик
Zamiry,Замеры,Заміри
Zanky,Заньки,Заньки
Klen,Клен,Клен
Modeliv,Моделев,Моделів
Morohivka,Мороговка,Морогівка
Nova Buda,Новая Буда,Нова Буда
Nova Marianivka,Новая Марьяновка,Нова Мар'янівка
Oblitky,Облитки,Облітки
Prybutok,Прибуток,Прибуток
Stara Buda,Старая Буда,Стара Буда
Stara Hreblia,Старая Гребля,Стара Гребля
Teklianivka,Текляновка,Теклянівка
Pulyny,Пулины,Пулини
Babychivka,Бабичовка,Бабичівка
Buriakivka,Буряковка,Буряківка
Viunky,Вьюнки,В'юнки
Viazovets,Вьязовец,В'язовець
Huta-Yustynivka,Гута-Юстиновка,Гута-Юстинівка
Zelena Poliana,Зеленая Поляна,Зелена Поляна
Kolodiivka,Колодиевка,Колодіївка
Korchivka,Корчовка,Корчівка
Koshelivka,Кошелевка,Кошелівка
Neborivka,Неборовка,Неборівка
Novyi Zavod,Новый Завод,Новий Завод
Olizarka,Олизарка,Олізарка
Ocheretianka,Очеретянка,Очеретянка
Poplavka,Поплавка,Поплавка
Pulyno-Huta,Пулино-Гута,Пулино-Гута
Radetska Boliarka,Радецкая Болярка,Радецька Болярка
Radetske Budyshche,Радецкое Будище,Радецьке Будище
Skolobiv,Сколобов,Сколобів
Stara Oleksandrivka,Старая Александровка,Стара Олександрівка
Tartachok,Тартачок,Тартачок
Uzhivka,Ужовка,Ужівка
Chekhivtsi,Чеховцы,Чехівці
Yulianivka,Юльяновка,Юлянівка
Bereztsi,Березцы,Березці
Borshchiv,Борщов,Борщів
Brid,Брод,Брід
Velyka Racha,Великая Рача,Велика Рача
Verlok,Верлок,Верлок
Hlynytsia,Глиница,Глиниця
Hlukhiv Druhyi,Глухов-Второй,Глухів Другий
Hlukhiv Pershyi,Глухов-Первый,Глухів Перший
Horodchyn,Городчин,Городчин
Huta-Zabilotska,Гута-Забелоцкая,Гута-Забілоцька
Zabilochchia,Забелочье,Забілоччя
Zabolot,Заболоть,Заболоть
Kaitanivka,Кайтановка,Кайтанівка
Kychkyri,Кичкири,Кичкирі
Kocheriv,Кочеров,Кочерів
Krasnobirka,Красноборка,Краснобірка
Krymok,Крымок,Кримок
Lutivka,Лутовка,Лутівка
Mala Racha,Малая Рача,Мала Рача
Medelivka,Меделевка,Меделівка
Menkivka,Меньковка,Меньківка
Mircha,Мирча,Мірча
Nehrebivka,Негребовка,Негребівка
Nova Yurivka,Новая Юровка,Нова Юрівка
Osychky,Осычки,Осички
Peremizhzhia,Переможье,Переміжжя
Pylypovychi,Пилиповичи,Пилиповичі
Rakovychi,Раковичи,Раковичі
Rudnia-Horodetska,Рудня-Городецкая,Рудня-Городецька
Rusanivka,Русановка,Русанівка
Stav-Sloboda,Став-Слобода,Став-Слобода
Taboryshche,Таборище,Таборище
Filonivka,Филоновка,Філонівка
Khodory,Ходоры,Ходори
Khomivka,Хомовка,Хомівка
Chaikivka,Чайковка,Чайківка
Chudyn,Чудин,Чудин
Bykivka,Быковка,Биківка
Boriatyn,Борятин,Борятин
Bubny,Бубны,Бубни
Buldychiv,Булдычев,Булдичів
Velyka Kozara,Великая Козара,Велика Козара
Vyla,Вила,Вила
Vilkha,Ольха,Вільха
Vrublivka,Врублевка,Врублівка
Hvizdiarnia,Гвоздярня,Гвіздярня
Hodykha,Годыха,Годиха
Holubyn,Голубин,Голубин
Zhovtyi Brid,Желтый Брод,Жовтий Брід
Ivanivshchyna,Ивановщина,Іванівщина
Kamin,Камень,Камінь
Lisna Rudnia,Лесная Рудня,Лісна Рудня
Mala Tokarivka,Малая Токаревка,Мала Токарівка
Mani,Мани,Мані
Mykilsk,Никольск,Микільськ
Nyvna,Нивна,Нивна
Novoprutivka,Новопрутовка,Новопрутівка
Novokhatky,Новохатки,Новохатки
Olshanka,Ольшанка,Ольшанка
Omylne,Омыльное,Омильне
Prutivka,Прутовка,Прутівка
Syniava,Синява,Синява
Starochudnivska Huta,Старочудновская Гута,Старочуднівська Гута
Sulzhynivka,Сульжиновка,Сульжинівка
Teveliivka,Тевелиевка,Тевеліївка
Tovshcha,Товща,Товща
Khymrych,Химрич,Химрич
Tseberka,Цеберка,Цеберка
Chervoni Khatky,Червоные Хатки,Червоні Хатки
Yasnohorod,Ясногород,Ясногород
Stanyshivka,Станишовка,Станишівка
Bystri,Быстри,Бистрі
Hrabivka,Грабовка,Грабівка
Zarichany,Заречаны,Зарічани
Kodnia,Кодня,Кодня
Buimyr,Буймир,Буймир
Lisivshchyna,Лесовщина,Лісівщина
Lishchyn,Лещин,Ліщин
Moshkivka,Мошковка,Мошківка
Skomorokhy,Скоморохи,Скоморохи
Sloboda-Selets,Слобода-Селец,Слобода-Селець
Turovets,Туровец,Туровець
Chervonyi Stepok,Червоный Степок,Червоний Степок
Starosiltsi,Старосельцы,Старосільці
Vysokyi Kamin,Высокий Камень,Високий Камінь
Horodske,Городское,Городське
Humennyky,Гуменники,Гуменники
Koziivka,Козиевка,Козіївка
Myniiky,Минейки,Минійки
Novohorodetske,Новогородецкое,Новогородецьке
Smykivka,Смыковка,Смиківка
Chervonyi Hai,Червоный Гай,Червоний Гай
Chervonyi Rovets,Червоный Ровец,Червоний Ровець
Teterivka,Тетеревка,Тетерівка
Buky,Буки,Буки
Vysoka Pich,Высокая Печь,Висока Піч
Denyshi,Дениши,Дениші
Korchak,Корчак,Корчак
Nova Rudnia,Новая Рудня,Нова Рудня
Perliavka,Перлявка,Перлявка
Pokostivka,Покостовка,Покостівка
Rudnia-Poshta,Рудня-Почта,Рудня-Пошта
Staroshyika,Старошейка,Старошийка
Tryhiria,Тригорье,Тригір'я
Horikhove,Горихово,Горіхове
Kulishivka,Кулешовка,Кулішівка
Mamryn,Мамрин,Мамрин
Mashyna,Машина,Машина
Osykovyi Kopets,Осыковый Копец,Осиковий Копець
Rozkydailivka,Раскидайловка,Розкидайлівка
Smolivka,Смоловка,Смолівка
Trykoptsi,Трикопцы,Трикопці
Shakhvorostivka,Шахворостовка,Шахворостівка
Khoroshiv,Хорошев,Хорошів
Budo-Ryzhany,Будо-Рыжаны,Будо-Рижани
Volianshchyna,Волянщина,Волянщина
Hrabniak,Грабняк,Грабняк
Dashynka,Дашинка,Дашинка
Dvoryshche,Дворище,Дворище
Zhovtnivka,Жовтневка,Жовтнівка
Zazdrivka,Заздровка,Заздрівка
Zakomirnia,Закоморня,Закомірня
Zubrynka,Зубринка,Зубринка
Kopanivka,Копановка,Копанівка
Kopelianka,Копелянка,Копелянка
Korytyshche,Корытище,Коритище
Kraivshchyna,Краевщина,Краївщина
Kropyvenka,Крапивенка,Кропивенка
Kruk,Крук,Крук
Kurhantsi,Курганцы,Курганці
Lyznyk,Лизник,Лизник
Nevyrivka,Невировка,Невирівка
Olishivka,Олешовка,Олішівка
Omelivka,Омелевка,Омелівка
Polivska Huta,Полевская Гута,Полівська Гута
Poromivka,Поромовка,Поромівка
Radychi,Радичи,Радичі
Ryzhany,Рыжаны,Рижани
Rudnia-Shliakhova,Рудня-Шляхова,Рудня-Шляхова
Solodyri,Солодыри,Солодирі
Stebnytsia,Стебница,Стебниця
Terentsi,Теренцы,Теренці
Toporyshche,Топорище,Топорище
Chovnova,Челнова,Човнова
Shadura,Шадура,Шадура
Chervonohranitne,Червоногранитное,Червоногранітне
Cherniakhiv,Черняхов,Черняхів
Holovyne,Головино,Головине
Bezhiv,Бежов,Бежів
Brazhenka,Браженка,Браженка
Velyka Horbasha,Великая Горбаша,Велика Горбаша
Vydybor,Выдыбор,Видибор
Horbuliv,Горбулев,Горбулів
Divochky,Девочки,Дівочки
Zhadky,Жадьки,Жадьки
Klityshche,Клетище,Клітище
Korostelivka,Коростелевка,Коростелівка
Mala Horbasha,Малая Горбаша,Мала Горбаша
Mokrenshchyna,Мокренщина,Мокренщина
Naumenka,Науменко,Науменка
Nerazh,Нераж,Нераж
Novi Zhadky,Новые Жадьки,Нові Жадьки
Novi Saly,Новые Салы,Нові Сали
Osivka,Осовка,Осівка
Pekarshchyna,Пекарщина,Пекарщина
Plekhiv,Плехов,Плехів
Rosivka,Росовка,Росівка
Saly,Салы,Сали
Svydia,Свидя,Свидя
Selianshchyna,Селянщина,Селянщина
Slaviv,Славов,Славів
Slipchytsi,Слепчицы,Сліпчиці
Styrty,Стырты,Стирти
Chudniv,Чуднов,Чуднів
Vakulenchuk,Вакуленчук,Вакуленчук
Velyki Korovyntsi,Великие Коровинцы,Великі Коровинці
Babushky,Бабушки,Бабушки
Bartukha,Бартуха,Бартуха
Budychany,Будичаны,Будичани
Datsky,Дацки,Дацьки
Didkivtsi,Дедковцы,Дідківці
Dovbyshi,Довбыши,Довбиші
Drenyky,Дреники,Дреники
Dryhliv,Дрыглов,Дриглів
Karvynivka,Карвиновка,Карвинівка
Kykhti,Кихти,Кихті
Kniazhyn,Княжин,Княжин
Korochenky,Короченки,Короченки
Krasnovolytsia,Красноволица,Красноволиця
Mali Korovyntsi,Малые Коровинцы,Малі Коровинці
Mykhailenky,Михайленки,Михайленки
Miaskivka,Мясковка,М'ясківка
Piatka,Пятка,П'ятка
Rachky,Рачки,Рачки
Ryzhiv,Рыжов,Рижів
Stanislavivka,Станиславовка,Станіславівка
Stovpiv,Столпов,Стовпів
Sudachivka,Судачевка,Судачівка
Turchynivka,Турчиновка,Турчинівка
Bilokorovychi,Белокоровичи,Білокоровичі
Buchmany,Бучманы,Бучмани
Novi Bilokorovychi,Новые Белокоровичи,Нові Білокоровичі
Hladkovychi,Гладковичи,Гладковичі
Hladkovytska Kamianka,Гладковичская Каменка,Гладковицька Кам'янка
Husarivka,Гусаровка,Гусарівка
Zbrankivtsi,Збраньковцы,Збраньківці
Kamianivka,Каменевка,Кам'янівка
Lychmany,Личманы,Личмани
Radchytsi,Радчицы,Радчиці
Stashky,Сташки,Сташки
Tovkachi,Толкачи,Товкачі
Mahdyn,Магдин,Магдин
Horshchyk,Горщик,Горщик
Borovytsia,Боровица,Боровиця
Vyhiv,Выгов,Вигів
Vyden,Видень,Видень
Davydky,Давыдки,Давидки
Druzhbivka,Дружбовка,Дружбівка
Zhupanivka,Жупановка,Жупанівка
Irshansk,Иршанск,Іршанськ
Vynarivka,Винаровка,Винарівка
Hraby,Грабы,Граби
Hubenkove,Губенково,Губенкове
Huta-Dobryn,Гута-Добрынь,Гута-Добринь
Desiatyny,Десятины,Десятини
Dobryn,Добрынь,Добринь
Yemylivka,Емилевка,Ємилівка
Kovali,Ковали,Ковалі
Meleni,Мелени,Мелені
Polianka,Полянка,Полянка
Korosten,Коростень,Коростень
Bardy,Барды,Барди
Berestovets,Берестовец,Берестовець
Bekhy,Бехи,Бехи
Vaskovychi,Васьковичи,Васьковичі
Velykyi Lis,Великий Лес,Великий Ліс
Voroneve,Воронево,Вороневе
Horbachi,Горбачи,Горбачі
Hrozyne,Грозино,Грозине
Didkovychi,Дедковичи,Дідковичі
Domoloch,Домолочь,Домолоч
Zlobychi,Злобичи,Злобичі
Zubivshchyna,Зубовщина,Зубівщина
Iskorost,Искорость,Іскорость
Kalenske,Каленское,Каленське
Klocheve,Клочевое,Клочеве
Korma,Корма,Корма
Kupech,Купеч,Купеч
Maidanivka,Майдановка,Майданівка
Mala Zubivshchyna,Малая Зубовщина,Мала Зубівщина
Medynivka,Мединовка,Мединівка
Nemyrivka,Немировка,Немирівка
Nyvky,Нивки,Нивки
Novaky,Новаки,Новаки
Obykhody,Обиходы,Обиходи
Obykhodivka,Обиходовка,Обиходівка
Pleshchivka,Плещевка,Плещівка
Roztiazhyn,Растяжин,Розтяжин
Sarnovychi,Сарновичи,Сарновичі
Synhai,Сингаи,Сингаї
Stremyhorod,Стремигород,Стремигород
Subyne,Субино,Субине
Kholosne,Холосно,Холосне
Khotynivka,Хотиновка,Хотинівка
Shatryshche,Шатрище,Шатрище
Sokoryky,Сокорики,Сокорики
Luhyny,Лугины,Лугини
Myroliubiv,Миролюбов,Миролюбів
Berezovyi Hrud,Березовый Груд,Березовий Груд
Bobrychi,Бобричи,Бобричі
Bovsuny,Бовсуны,Бовсуни
Buda,Буда,Буда
Budo-Litky,Будо-Литки,Будо-Літки
Velykyi Dyvlyn,Великий Дивлин,Великий Дивлин
Hlukhova,Глухова,Глухова
Zherevtsi,Жеревцы,Жеревці
Zarichka,Заречка,Зарічка
Kamiana Hirka,Каменная Горка,Кам'яна Гірка
Kremne,Кремно,Кремне
Krupchatka,Крупчатка,Крупчатка
Lypnyky,Липники,Липники
Litky,Летки,Літки
Luhynky,Лугинки,Лугинки
Malakhivka,Малаховка,Малахівка
Malyi Dyvlyn,Малый Дивлин,Малий Дивлин
Novi Novaky,Новые Новаки,Нові Новаки
Osny,Осны,Осни
Ostapy,Остапы,Остапи
Pidostapy,Подостапы,Підостапи
Povch,Повч,Повч
Putylovychi,Путиловичи,Путиловичі
Radohoshcha,Радогоща,Радогоща
Rudnia-Zherevtsi,Рудня-Жеревцы,Рудня-Жеревці
Rudnia-Povchanska,Рудня-Повчанская,Рудня-Повчанська
Stari Novaky,Старые Новаки,Старі Новаки
Topilnia,Топильня,Топільня
Chervona Voloka,Червоная Волока,Червона Волока
Malyn,Малин,Малин
Bilyi Bereh,Белый Берег,Білий Берег
Budo-Vorobi,Будо-Воробьи,Будо-Вороб'ї
Buchky,Бучки,Бучки
Vyshiv,Вышев,Вишів
Vyshnianka,Вишнянка,Вишнянка
Viznia,Визня,Візня
Vorobivshchyna,Воробьевщина,Вороб'ївщина
Vorsivka,Ворсовка,Ворсівка
Viunyshche,Вьюнище,В'юнище
Hamarnia,Гамарня,Гамарня
Horyn,Горынь,Горинь
Huska,Гуска,Гуска
Huta-Lohanivska,Гута-Логановская,Гута-Логанівська
Yelivka,Елевка,Єлівка
Zhaboch,Жабоч,Жабоч
Zabrane,Забранное,Забране
Zybyn,Зыбин,Зибин
Klitnia,Клетня,Клітня
